,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,357366150,2005,post_office,Steelton Post Office,-76.8397788000,40.2351898000,-76.83978,40.23519
1,367797346,2002,fire_station,Community Fire Company Station 18,-76.6416667000,40.1733333000,-76.64167,40.17333
2,367961740,2002,fire_station,Londonderry Fire Company Number 1,-76.6907052000,40.1904222000,-76.69071,40.19042
3,367962090,2002,fire_station,West Hanover Fire Company 36 Station 3,-76.7542000000,40.3864000000,-76.7542,40.3864
4,367966059,2099,public_building,Londonderry Township Municipal Building,-76.6964306000,40.1815995000,-76.69643,40.1816
5,367966134,2099,public_building,Royalton Municipal Building,-76.7266359000,40.1892588000,-76.72664,40.18926
6,367967501,2008,town_hall,Pennsylvania State Capitol,-76.8837375000,40.2643941000,-76.88374,40.26439
7,529747304,2007,library,Hershey Public Library,-76.6469248000,40.2764684000,-76.64692,40.27647
8,632077374,2002,fire_station,Reliance Hose Company,-76.8208564000,40.5476152000,-76.82086,40.54762
9,769432190,2007,library,East Shore Library,-76.8180584000,40.3036477000,-76.81806,40.30365
10,769445091,2005,post_office,,-76.7354470000,40.1969808000,-76.73545,40.19698
11,770354178,2002,fire_station,Highspire Fire Department,-76.7886559000,40.2086295000,-76.78866,40.20863
12,770362896,2001,police,Lower Swatara Police Department,-76.7657906000,40.2201855000,-76.76579,40.22019
13,967233774,2001,police,Lower Paxton Twp. Police,-76.8053858000,40.2977759000,-76.80539,40.29778
14,1408628374,2008,town_hall,Lower Swatara Township Building,-76.7659623000,40.2203267000,-76.76596,40.22033
15,1908355112,2001,police,Campus Police,-76.7396260000,40.1997430000,-76.73963,40.19974
16,2277569466,2002,fire_station,Dauphin-Middle Paxton Fire Company,-76.9315023000,40.3764676000,-76.9315,40.37647
17,2283049951,2005,post_office,Federal Square Post Office,-76.8828232000,40.2614116000,-76.88282,40.26141
18,3812141517,2001,police,Middletown Police,-76.7253873000,40.1937454000,-76.72539,40.19375
19,3812141524,2002,fire_station,Middletown Volunteer Fire Company,-76.7213208000,40.1943733000,-76.72132,40.19437
20,5373366300,2001,police,Undercover Police Office,-76.7205610000,40.3373571000,-76.72056,40.33736
21,6836122380,2002,fire_station,,-76.8154517000,40.6014759000,-76.81545,40.60148
22,6848977872,2005,post_office,United States Post Office,-76.6543383000,40.2844803000,-76.65434,40.28448
23,7040002289,2008,town_hall,Municipal Building,-76.8416683000,40.2356613000,-76.84167,40.23566
24,7243330624,2001,police,Millersburg Police Station,-76.9621099000,40.5387987000,-76.96211,40.5388
25,7835248680,2008,town_hall,Royalton Borough Administration,-76.7272035000,40.1893847000,-76.7272,40.18938
26,7838121104,2001,police,Steelton Police Department,-76.8416575000,40.2356161000,-76.84166,40.23562
