name,address,lat,lon
,10 MAIN LN  BELLE VERNON PA 15012,40.12831,-79.87551
,232 BROWN ST  BROWNSVILLE PA 15417,40.01732,-79.88545
,530 WATER ST  BROWNSVILLE PA 15417,40.02059,-79.89425
,590 MARKET ST  BROWNSVILLE PA 15417,40.0213,-79.87959
,100 SOUTH HILLS TER  BROWNSVILLE PA 15417,40.01268,-79.89897
,125 PLEASANT VALLEY RD  CONNELLSVILLE PA 15425,40.0568,-79.55932
,982 PLEASANT VALLEY RD  MOUNT PLEASANT PA 15666,40.10078,-79.51323
,161 BIG SPRINGS RD  ACME PA 15610,40.1247,-79.45357
,1316 S PITTSBURGH ST  CONNELLSVILLE PA 15425,40.00402,-79.58927
,100 E FAYETTE ST  CONNELLSVILLE PA 15425,40.02159,-79.58892
,FAIRVIEW AVE  CONNELLSVILLE PA 15425,40.01763,-79.58457
,123 S 7TH ST  CONNELLSVILLE PA 15425,40.01578,-79.59841
,905 FIREMAN LN  CONNELLSVILLE PA 15425,40.0284,-79.58444
,209 HOWELL ST  DAWSON PA 15428,40.04762,-79.65545
,988 SKY DRIVE  LEMONT FURNACE PA 15456,39.96105,-79.65469
,598 VANDERBILT RD  CONNELLSVILLE PA 15425,40.02384,-79.62335
,1 FIREMAN LN  DUNBAR PA 15431,39.97528,-79.61761
,PAINTER ST  EVERSON PA 15631,40.09075,-79.5862
,125 W CHURCH ST  FAIRCHANCE PA 15436,39.8204,-79.75762
,240 SECOND ST  FAYETTE CITY PA 15438,40.09948,-79.8404
,242 BUENA VISTA  VANDERBILT PA 15486,40.02107,-79.71478
,103 MAIN ST  SMOCK PA 15480,39.99768,-79.78622
,236 HAYDENTOWN HILL RD  SMITHFIELD PA 15478,39.79019,-79.77087
,175 GEORGES FAIRCHANCE RD  UNIONTOWN PA 15401,39.86118,-79.73966
,1152 TOWNSHIP DR  UNIONTOWN PA 15401,39.83159,-79.78372
,102 BLAINE AVE  MCCLELLANDTOWN PA 15458,39.88709,-79.8651
,2 LONG ST  MCCLELLANDTOWN PA 15458,39.88068,-79.88903
,501 FOOTEDALE RD  NEW SALEM PA 15468,39.91104,-79.83162
,126 FIREHOUSE RD  ADAH PA 15410,39.90962,-79.92621
,"5032 NATIONAL PIKE E,  MARKLEYSBURG PA 15459",39.76556,-79.46494
,262 STUCKSLAGER RD  PERRYOPOLIS PA 15473,40.05095,-79.81488
,291 BANNING RD  DAWSON PA 15428,40.06415,-79.66001
,415 HOPEWELL RD  BROWNSVILLE PA 15417,39.96667,-79.90591
,637 HIGH ST  HILLER PA 15444,40.01334,-79.89737
,1101 LABELLE RD  LABELLE PA 15450,40.01038,-79.9734
,450 ALLISON AVE  ALLISON PA 15413,39.98406,-79.87715
,150 MAIN ST  MARKLEYSBURG PA 15459,39.73859,-79.44967
,100 SOUTH WASHINGTON ST  MASONTOWN PA 15461,39.84647,-79.90125
,803 BALLFIELD RD.  KEISTERVILLE PA 15449,39.96484,-79.78348
,7527 NATIONAL PIKE  UNIONTOWN PA 15401,39.93836,-79.78115
,800 NEW SALEM RD  UNIONTOWN PA 15401,39.91893,-79.80624
,412 SECOND ST  NEWELL PA 15466,40.07719,-79.8978
,142 WOODSIDE OLD FRAME RD  SMITHFIELD PA 15478,39.81062,-79.86245
,200 WATER ST  UNIONTOWN PA 15401,39.91299,-79.70375
,335 PARK ST  UNIONTOWN PA 15401,39.92488,-79.68263
,14 H'WOOD C'SPRING RD  HOPWOOD PA 15445,39.87702,-79.70199
,1235 W PENN BLVD  UNIONTOWN PA 15401,39.92056,-79.6949
,50 LOWER OLIVER #3  UNIONTOWN PA 15401,39.93668,-79.71184
,15 SHERMAN ST  OHIOPYLE PA 15470,39.86872,-79.49328
,1 TOWNSHIP DR  STAR JUNCTION PA 15482,40.06222,-79.76422
,312 INDEPENDENCE ST  PERRYOPOLIS PA 15473,40.0868,-79.74923
,CHEAT ST  POINT MARION PA 15474,39.7411,-79.89957
,225 TWIN HILLS RD  GRINDSTONE PA 15442,39.98326,-79.85178
