name,address,lat,lon
,1068 LINDEN RD  EIGHTY FOUR PA 15330,40.23677,-80.09465
,20 GIFFIN DR  CANONSBURG PA 15317,40.26148,-80.16681
,2550 WASHINGTON RD  CANONSBURG PA 15317,40.25383,-80.15888
,33 MANSE ST  WASHINGTON PA 15301,40.15609,-80.2109
,428 GEORGETOWN RD  LAWRENCE PA 15055,40.30456,-80.12179
,399 GEORGETOWN RD  LAWRENCE PA 15055,40.30526,-80.12355
,1850 MAIN ST  ALLENPORT PA 15412,40.0968,-79.84416
,328 WEAVER RUN RD  WASHINGTON PA 15301,40.07944,-80.18136
,638 AMITY RIDGE RD  AMITY PA 15311,40.03746,-80.20464
,82 SOUTH ST  BEALLSVILLE PA 15313,40.06367,-80.02282
,900 MAIN ST  BENTLEYVILLE PA 15314,40.12125,-80.00572
,44 MAIN ST  TAYLORSTOWN PA 15365,40.15938,-80.37867
,400 BUFFALO CENTER LN  WASHINGTON PA 15301,40.13188,-80.32589
,200 SENIOR WAY  BURGETTSTOWN PA 15021,40.38377,-80.39035
,225 THIRD ST  CALIFORNIA PA 15419,40.06655,-79.89219
,499 W MALDEN DR  CALIFORNIA PA 15419,40.05156,-79.92174
,302 ADAMS AVE  CANONSBURG PA 15317,40.26234,-80.17672
,539 W PIKE ST  CANONSBURG PA 15317,40.25815,-80.20019
,230 S CENTRAL AVE  CANONSBURG PA 15317,40.25489,-80.18559
,170 E COLLEGE ST  CANONSBURG PA 15317,40.26096,-80.18186
,2684 JEFFERSON AVE  WASHINGTON PA 15301,40.19768,-80.29907
,605 HEWITT AVE  WASHINGTON PA 15301,40.19937,-80.28264
,25 JONES LN  MONONGAHELA PA 15063,40.19209,-79.8892
,34 SNYDER AVE  MONONGAHELA PA 15063,40.19203,-79.96819
,988 ROUTE 837  MONONGAHELA PA 15063,40.16871,-79.89143
,130 BAIRD AVE  MONONGAHELA PA 15063,40.16843,-79.91532
,1940 RT 2023  MONONGAHELA PA 15063,40.18477,-79.94041
,3676 MILLERS RUN RD  MCDONALD PA 15057,40.31907,-80.22381
,3599 MILLERS RUN RD  MCDONALD PA 15057,40.31909,-80.21684
,3351 MILLERS RUN RD  CECIL PA 15321,40.32228,-80.19862
,3351 MILLERS RUN RD  MCDONALD PA 15057,40.31948,-80.23767
,186 MUSE-BISHOP RD  MUSE PA 15350,40.29124,-80.20031
,1000 CORPORATE DR  CANONSBURG PA 15317,40.29866,-80.17424
,823 OLD NATIONAL PIKE  BROWNSVILLE PA 15417,40.04341,-79.97201
,100 EAST END RD  BROWNSVILLE PA 15417,40.02919,-79.91756
,415 LOW HILL RD  DENBO PA 15429,40.0082,-79.95158
,14 FIRE HALL ST  RICHEYVILLE PA 15358,40.05373,-80.0001
,301 THIRD ST  VESTABURG PA 15368,40.01654,-79.98974
,624 WASHINGTON AVE  CHARLEROI PA 15022,40.13951,-79.90086
,328 FALLOWFIELD AVE  CHARLEROI PA 15022,40.13691,-79.89672
,1006 FALLOWFIELD AVE  CHARLEROI PA 15022,40.14342,-79.90401
,688 WESTERN AVE  CANONSBURG PA 15317,40.2546,-80.24554
,716 N MAIN ST  HOUSTON PA 15342,40.26281,-80.22161
,300 W PIKE ST  MEADOWLANDS PA 15347,40.21919,-80.22064
,2013 COMMUNITY CENTER DR  HOUSTON PA 15342,40.23492,-80.21823
,2 BUCCANEER DR  HOUSTON PA 15342,40.22403,-80.21767
,208 MAIN ST  CLAYSVILLE PA 15323,40.11705,-80.41218
,135 WATER ST  COAL CENTER PA 15423,40.07087,-79.90029
,171 LINCOLN ST  COKEBURG PA 15324,40.10309,-80.06597
,1070 CROSS CREEK RD  BURGETTSTOWN PA 15021,40.32952,-80.41301
,28 CLARK AVE  AVELLA PA 15021,40.30645,-80.44793
,301 COUNTY PARK RD  AVELLA PA 15312,40.27848,-80.39846
,1622 MOREY RD  FREDERICKTOWN PA 15333,40.02681,-80.03187
,34 N LIBERTY ST  WEST ALEXANDER PA 15376,40.10653,-80.50829
,"1280 RT 40 W,  CLAYSVILLE PA 15323",40.11582,-80.41548
,1 PARK MANOR RD  DONORA PA 15033,40.174,-79.86951
,137 SECOND AVE  DONORA PA 15033,40.17343,-79.85722
,329 CASTNER AVE  DONORA PA 15033,40.17684,-79.86359
,998 THOMPSON AVE  DONORA PA 15033,40.18335,-79.8566
,4 WALNUT ST  DUNLEVY PA 15432,40.11781,-79.8645
,26 MONONGAHELA AVE  FREDERICKTOWN PA 15333,39.9913,-79.99396
,36 WATER ST  FREDERICKTOWN PA 15333,39.99971,-79.9967
,387 FRONT ST  FREDERICKTOWN PA 15333,39.99847,-79.99755
,1418 E FINLEY DR  CLAYSVILLE PA 15323,40.04706,-80.39495
,615 E BEAU ST  WASHINGTON PA 15301,40.17674,-80.23035
,ROUTE 88  ELCO PA 15434,40.03878,-79.92079
,23 MAIN ST  ELLSWORTH PA 15331,40.10637,-80.02063
,9 MEMORIAL DR  CHARLEROI PA 15022,40.1365,-79.95221
,1278 BENTLEYVILLE RD  VAN VOORHIS PA 15365,40.15873,-79.97218
,100 FECSEN DR  CHARLEROI PA 15022,40.15769,-79.91925
,1660 ROUTE 481  CHARLEROI PA 15022,40.13733,-79.95121
,3562 WASHINGTON AVE  FINLEYVILLE PA 15332,40.25279,-80.0022
,11 MUNICIPAL DR  BURGETTSTOWN PA 15021,40.42346,-80.44869
,9 STARCK DR  BURGETTSTOWN PA 15021,40.41067,-80.48385
,20 PARK VIEW RD  AVELLA PA 15312,40.24187,-80.39681
,42 WESTERN AVE  HOUSTON PA 15342,40.24942,-80.21111
,11 SCHOOL CT  AVELLA PA 15312,40.27172,-80.4646
,1560 AVELLA RD  AVELLA PA 15312,40.27443,-80.45886
,12 FIRE RD  ELDERSVILLE PA 15036,40.3505,-80.4748
,440 MT TABOR RD  COAL CENTER PA 15423,40.09895,-79.8811
,1 PROCASKEY RD  MARIANNA PA 15345,40.02333,-80.09546
,99 ST JOHNS ST  MIDWAY PA 15060,40.3687,-80.28987
,225 GEORGE ST  MONONGAHELA PA 15063,40.19878,-79.92314
,446 JACKSON ST  MONONGAHELA PA 15063,40.19954,-79.92776
,451 W MAIN ST  MONONGAHELA PA 15063,40.20421,-79.92776
,25 CHURCH LN  PROSPERITY PA 15329,39.88079,-80.27263
,106 MAIN ST  HICKORY PA 15340,40.29862,-80.31118
,6 CHURCH ST  SOUTHVIEW PA 15361,40.32818,-80.26035
,151 S MCDONALD ST  MCDONALD PA 15057,40.36685,-80.2346
,153 CHESS ST  NEW EAGLE PA 15067,40.20768,-79.94629
,13 SCHOOL ST  SCENERY HILL PA 15360,40.08784,-80.07135
,550 ISABELLA AVE  NORTH CHARLEROI PA 15022,40.1506,-79.90945
,565 SYLVAN DR  WASHINGTON PA 15301,40.15253,-80.27094
,1701 RIDGEWOOD DR  WASHINGTON PA 15301,40.15185,-80.27698
,1929 ROUTE 519 S  CANONSBURG PA 15317,40.23613,-80.16933
,1254 ROUTE 519  EIGHTY FOUR PA 15330,40.20754,-80.1266
,2230 WASHINGTON RD  CANONSBURG PA 15317,40.24151,-80.17745
