name,address,lat,lon
,300 MAIN AVE  ALIQUIPPA PA 15001,40.63803,-80.24268
,524 FRANKLIN AVE  ALIQUIPPA PA 15001,40.61538,-80.24901
,744 GRIFFITH ST  ALIQUIPPA PA 15001,40.62164,-80.25961
,464 FRANKLIN AVE  ALIQUIPPA PA 15001,40.61603,-80.24832
,1 TYLER ST  ALIQUIPPA PA 15001,40.61201,-80.26709
,1001 CLINTON ST  ALIQUIPPA PA 15001,40.60565,-80.25735
,2111 DAVIDSON ST  ALIQUIPPA PA 15001,40.60583,-80.27835
,2720 BRODHEAD ROAD  ALIQUIPPA PA 15001,40.60878,-80.28214
,952 FRANKLIN AVE  ALIQUIPPA PA 15001,40.61291,-80.25555
,233 MERCHANT ST  AMBRIDGE PA 15003,40.58146,-80.22397
,500 BEAVER RD  AMBRIDGE PA 15003,40.58627,-80.22394
,600 11TH ST  AMBRIDGE PA 15003,40.59301,-80.22799
,909 DUSS AVE  AMBRIDGE PA 15003,40.59244,-80.22638
,420 DIPPOLD AVE  BADEN PA 15005,40.63742,-80.22854
,149 STATE ST  BADEN PA 15005,40.62911,-80.22721
,147 FIREHOUSE LN  BADEN PA 15005,40.6296,-80.2268
,469 3RD ST  BEAVER PA 15009,40.69584,-80.30264
,680 CANAL ST  BEAVER PA 15009,40.69794,-80.3075
,165 MARKET ST  BEAVER PA 15009,40.69196,-80.30595
,831 4TH AVE  BEAVER FALLS PA 15010,40.75012,-80.31757
,1103 8TH AVE  BEAVER FALLS PA 15010,40.75248,-80.3214
,414 16TH ST  BEAVER FALLS PA 15010,40.7571,-80.31622
,2420 9TH AVE  BEAVER FALLS PA 15010,40.7647,-80.32179
,3240 5TH AVE  BEAVER FALLS PA 15010,40.77389,-80.32495
,3600 4TH AVE  BEAVER FALLS PA 15010,40.77733,-80.32407
,621 FRIENDSHIP RD  DARLINGTON PA 16115,40.80749,-80.37135
,435 JEFFERSON ST  BEAVER PA 15009,40.6833,-80.32877
,199 BOUNDARY LN  BEAVER PA 15009,40.69966,-80.29295
,500 DUTCH RIDGE RD  BEAVER PA 15009,40.70582,-80.31665
,2295 TUSCARAWAS RD  BEAVER PA 15009,40.69694,-80.3598
,45 MAPLE DR  BEAVER PA 15009,40.70519,-80.40298
,1300 BRIGHTON RD  BEAVER PA 15009,40.70955,-80.3647
,5400 DUTCH RIDGE RD  BEAVER PA 15009,40.70506,-80.39644
,3385 BRODHEAD RD  ALIQUIPPA PA 15001,40.64566,-80.31165
,108 GRANDVIEW AVE  MONACA PA 15061,40.68501,-80.29811
,110 VAN KIRK RD  MONACA PA 15061,40.66348,-80.26461
,224 CENTER GRANGE RD  ALIQUIPPA PA 15001,40.64845,-80.29959
,147 POPLAR AVE  MONACA PA 15061,40.65292,-80.30241
,1438 BRODHEAD RD  MONACA PA 15061,40.669,-80.31213
,166 W SHAFFER RD  ALIQUIPPA PA 15001,40.6417,-80.31724
,134 BUNKER HILL RD  ALIQUIPPA PA 15001,40.63015,-80.31577
,118 MCMILLEN AVE  BEAVER FALLS PA 15010,40.77057,-80.37372
,2811 DARLINGTON RD  BEAVER FALLS PA 15010,40.77918,-80.39374
,239 BRAUN RD  BEAVER FALLS PA 15010,40.75735,-80.36385
,530 BLACKHAWK RD  BEAVER FALLS PA 15010,40.76342,-80.40127
,801 1ST AVE  CONWAY PA 15027,40.65813,-80.23766
,900 S GROSS ST  CONWAY PA 15027,40.66813,-80.23468
,604 MORRIS ST  DARLINGTON PA 16115,40.80902,-80.42422
,3590 DARLINGTON RD  DARLINGTON PA 16115,40.80807,-80.43737
,4198 MARION HILL RD  NEW BRIGHTON PA 15066,40.73046,-80.28229
,2182 MERCER RD  NEW BRIGHTON PA 15066,40.75592,-80.28956
,179 VIRGINIA AVE  ROCHESTER PA 15074,40.70241,-80.2764
,504 E 2ND AVE  BEAVER FALLS PA 15010,40.76861,-80.31509
,2800 CONWAY WALLROSE RD  BADEN PA 15005,40.66191,-80.18816
,3151 CONWAY WALLROSE RD  BADEN PA 15005,40.64212,-80.16776
,2856 CONWAY WALLROSE RD  BADEN PA 15005,40.65693,-80.18198
,200 2ND AVE  FREEDOM PA 15042,40.66982,-80.2117
,2147 RIDGE RD EXT  AMBRIDGE PA 15003,40.61026,-80.19537
,90 BEAVER ST  NEW BRIGHTON PA 15066,40.72072,-80.30908
,3371 ROUTE 18  HOOKSTOWN PA 15050,40.48223,-80.44311
,897 ROUTE 288  FOMBELL PA 16123,40.83501,-80.20529
,808 OLD ZELIENOPLE RD  ELLWOOD CITY PA 16117,40.84821,-80.26976
,450 13TH ST  FREEDOM PA 15042,40.68145,-80.24975
,122 MARKET ST  GEORGETOWN PA 15043,40.6399,-80.49873
,110 LIBERTY AVE  MIDLAND PA 15059,40.6445,-80.50887
,1198 ROUTE 168  HOOKSTOWN PA 15050,40.58881,-80.47656
,2697 ROUTE 18  HOOKSTOWN PA 15050,40.5244,-80.42181
,2090 ROUTE 168  GEORGETOWN PA 15043,40.5222,-80.48373
,1101 HIGHLAND AVE  AMBRIDGE PA 15003,40.59308,-80.21444
,2501 WOODLAND RD  AMBRIDGE PA 15003,40.60737,-80.21928
,2400 BEAVER RD  AMBRIDGE PA 15003,40.60585,-80.22296
,464 MAIN ST  BEAVER FALLS PA 15010,40.81328,-80.32868
,262 MAIN ST  HOOKSTOWN PA 15050,40.59969,-80.47346
,2850 JACK ST  ALIQUIPPA PA 15001,40.60059,-80.29506
,2001 CRISSMAN DR  ALIQUIPPA PA 15001,40.6077,-80.30048
,100 PARKRIDGE DR  ALIQUIPPA PA 15001,40.59465,-80.27512
,1700 CLARK BLVD  ALIQUIPPA PA 15001,40.59249,-80.26346
,2270 BRODHEAD RD  ALIQUIPPA PA 15001,40.58508,-80.25741
,799 LEXINGTON DR  ALIQUIPPA PA 15001,40.5629,-80.27756
,1881 BRODHEAD RD  ALIQUIPPA PA 15001,40.56059,-80.25447
,116 SCHOOL RD  ALIQUIPPA PA 15001,40.54482,-80.32884
,1640 MIDLAND BEAVER RD  INDUSTRY PA 15052,40.65268,-80.39543
,5525 5TH AVE  KOPPEL PA 16136,40.83317,-80.32278
,485 HARTZELL SCHOOL RD  FOMBELL PA 16123,40.78094,-80.20065
,936 MIDLAND AVE  MIDLAND PA 15059,40.63494,-80.45069
,500 BEAVER AVE  MIDLAND PA 15059,40.63985,-80.45582
,MIDLAND HTS  MIDLAND PA 15059,40.65078,-80.46626
,105 4TH ST  MONACA PA 15061,40.69218,-80.28586
,899 INDIANA AVE  MONACA PA 15061,40.69322,-80.28103
,913 TAYLOR AVE  MONACA PA 15061,40.68448,-80.28097
,995 ELMIRA ST  MONACA PA 15061,40.67959,-80.28226
,800 JACKSON AVE  MONACA PA 15061,40.67719,-80.26295
,1851 3RD AVE  NEW BRIGHTON PA 15066,40.72416,-80.30464
,1023 6TH AVE  NEW BRIGHTON PA 15066,40.73398,-80.30986
,720 3RD AVE  NEW BRIGHTON PA 15066,40.73542,-80.315
,801 ALLEGHENY ST  NEW BRIGHTON PA 15066,40.73644,-80.31066
,115 N MERCER AVE  NEW BRIGHTON PA 15066,40.74538,-80.30751
,606 CENTENNIAL AVE  NEW GALILEE PA 16141,40.83466,-80.39811
,1229 ROUTE 989  ROCHESTER PA 15074,40.72578,-80.18588
,1691 9TH ST EXT  FREEDOM PA 15042,40.68594,-80.23747
,1297 ROUTE 68  ROCHESTER PA 15074,40.74623,-80.20697
,2840 RIVER RD  ELLWOOD CITY PA 16117,40.84209,-80.31291
,285 CONCORD CHURCH RD  BEAVER FALLS PA 15010,40.79424,-80.27003
,887 MERCER RD  BEAVER FALLS PA 15010,40.79599,-80.29232
,901 MILLVIEW ST  ELLWOOD CITY PA 16117,40.85339,-80.27788
,893 MERCER RD  BEAVER FALLS PA 15010,40.79659,-80.29088
,108 SALEM CHURCH RD  MIDLAND PA 15059,40.68078,-80.49079
,6268 TUSCARAWAS RD  INDUSTRY PA 15052,40.69327,-80.46607
,600 7TH AVE  BEAVER FALLS PA 15010,40.74766,-80.31933
,319 DARLINGTON RD  BEAVER FALLS PA 15010,40.74447,-80.33378
,1099 DARLINGTON RD  BEAVER FALLS PA 15010,40.75041,-80.3365
,206 MOWRY RD  MONACA PA 15061,40.63916,-80.3657
,4607 ROCHESTER RD  NEW BRIGHTON PA 15066,40.72856,-80.29419
,4061 PATTERSON RD  ALIQUIPPA PA 15001,40.6186,-80.36949
,1234 ROUTE 18  ALIQUIPPA PA 15001,40.59565,-80.39449
,330 CONNECTICUT AVE  ROCHESTER PA 15074,40.70287,-80.28461
,480 JEFFERSON ST  ROCHESTER PA 15074,40.70552,-80.27935
,393 ADAMS ST  ROCHESTER PA 15074,40.70279,-80.281
,1013 ELM ST  ROCHESTER PA 15074,40.70534,-80.27047
,CALIFORNIA AVE  ROCHESTER PA 15074,40.7142,-80.28574
,163 ROUTE 3016  SHIPPINGPORT PA 15077,40.62926,-80.41821
,740 ROUTE 168  DARLINGTON PA 16115,40.77551,-80.46275
,4069 JORDAN ST  SOUTH HEIGHTS PA 15081,40.57294,-80.23476
,706 37TH ST  BEAVER FALLS PA 15010,40.77869,-80.33018
,2511 13TH AVE  BEAVER FALLS PA 15010,40.76526,-80.32864
