geoid,countyfp,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pop10,areakm,popdens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
42111020101,111,0.0397,0,0.00819,2074,53.5443,38.73428,0.00368,1,0.95876,0,0.12303,0,0.05882,0,0.08195,0,0.0,1,0.0,1,0.00452,1,0.99196,0,0.02781,0,0.0347,0.06847,0.0,,0.15156
42111020102,111,0.16093,0,0.04636,5396,55.75433,96.78172,0.00453,1,0.9004,0,0.06408,0,0.08061,0,0.0714,0,0.00481,1,0.0,1,0.00616,1,0.95208,0,0.07125,0,0.07583,0.06983,0.0,0.0,0.09275
42111020200,111,0.17297,0,0.04804,4673,174.33557,26.80463,0.00207,1,0.92252,0,0.07155,0,0.04958,0,0.07184,0,0.0,1,0.0,1,0.01567,0,0.98366,0,0.06228,0,0.06682,0.06389,,0.0,0.07813
42111020300,111,0.14779,0,0.04871,4138,5.1166,808.73948,0.04465,1,0.8103,0,0.1681,0,0.27217,0,0.05697,0,0.0384,1,0.0,1,0.0117,1,0.93795,0,0.04994,0,0.05141,0.06491,0.0,,0.07377
42111020400,111,0.17688,0,0.01791,3898,179.48656,21.7175,0.00506,1,0.94797,0,0.14095,0,0.11683,0,0.06516,0,0.0,1,0.00188,1,0.00512,1,0.965,0,0.04887,0,0.04897,0.05156,0.0,,0.07547
42111020500,111,0.13007,0,0.03501,3025,94.66359,31.95526,0.0,1,0.93844,0,0.15012,0,0.097,0,0.06185,0,0.0,1,0.0,1,0.00417,1,0.98923,0,0.03776,0,0.0396,0.05156,,,0.06173
42111020600,111,0.14795,0,0.05532,6094,175.72142,34.67989,0.00093,1,0.95654,0,0.17871,0,0.12798,0,0.06725,0,0.00456,1,0.00186,1,0.00794,1,0.97601,0,0.07347,0,0.08175,0.04752,1.0,1.0,0.08791
42111020700,111,0.02084,0,0.02998,2942,173.79465,16.92802,0.0,1,0.96951,0,0.09484,0,0.0703,0,0.0742,0,0.0,1,0.00073,1,0.01827,1,0.98026,0,0.03735,0,0.0464,0.07926,0.0,,0.14583
42111020800,111,0.0,1,0.16635,6230,79.40319,78.46033,0.03108,0,0.98921,0,0.11062,0,0.05813,0,0.07874,0,0.00552,1,0.19331,0,0.06123,0,0.71627,0,0.09173,0,0.04877,0.08246,0.04468,0.0,0.17325
42111020900,111,0.0,1,0.10078,5892,87.88422,67.04275,0.0158,0,0.97831,0,0.14883,0,0.10009,0,0.07556,0,0.00202,1,0.0813,0,0.02985,0,0.87603,0,0.08186,0,0.07034,0.06063,0.09703,0.5903,0.14134
