name,address,lat,lon
,403 OAK FLAT RD  NEWVILLE PA 17241,40.14938,-77.3745
,20 MARKET ST  WORMLEYSBURG PA 17043,40.25258,-76.89691
,1000 YVERDON DR  CAMP HILL PA 17011,40.26628,-76.91744
,1400 THIRD ST  ENOLA PA 17025,40.27672,-76.91879
,225 SALT RD  ENOLA PA 17025,40.2964,-76.95125
,98 S ENOLA DR  ENOLA PA 17025,40.2873,-76.93239
,1425 S MARKET ST  MECHANICSBURG PA 17055,40.19244,-76.99099
,100 GETTYSBURG PIKE  MECHANICSBURG PA 17055,40.18511,-76.98636
,800 S MARKET ST  MECHANICSBURG PA 17055,40.20539,-77.00458
,500 GENEVA DR  MECHANICSBURG PA 17055,40.20757,-76.97841
,290 PETERSBURG RD  CARLISLE PA 17015,40.18585,-77.16739
,405 FORGE RD  BOILING SPRINGS PA 17007,40.15987,-77.1371
,360 YORK RD  CARLISLE PA 17013,40.18887,-77.15611
,647 FORGE RD  CARLISLE PA 17015,40.1745,-77.14805
,444 SILVER SPRING RD  MECHANICSBURG PA 17050,40.2387,-77.00756
,6746 CARLISLE PIKE  MECHANICSBURG PA 17050,40.24222,-77.06364
,1 PETER DR  MECHANICSBURG PA 17050,40.24914,-77.04502
,6475 CARLISLE PIKE  MECHANICSBURG PA 17050,40.24605,-77.01808
,7075 WERTZVILLE RD  MECHANICSBURG PA 17050,40.28211,-77.05883
,6839 WERTZVILLE RD  ENOLA PA 17025,40.28559,-77.01817
