,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,482805576,2002,fire_station,Scott TWP Firehall,-80.1973196000,41.0223440000,-80.19732,41.02234
1,1681565680,2001,police,Union Township Police Dept,-80.3784557000,41.0020872000,-80.37846,41.00209
2,1681566914,2008,town_hall,Union Township Municipal Building,-80.3789063000,41.0014152000,-80.37891,41.00142
3,1681567666,2002,fire_station,Union Township Volunteer Fire Department,-80.3774365000,41.0004759000,-80.37744,41.00048
4,2791743944,2005,post_office,Ellwood City Post Office,-80.2908407000,40.8576466000,-80.29084,40.85765
5,2791748832,2007,library,Ellwood City Public Library,-80.2861736000,40.8580890000,-80.28617,40.85809
6,5315797210,2007,library,Reading Room,-80.5090070000,41.0733483000,-80.50901,41.07335
7,5315797213,2007,library,,-80.5088734000,41.0731688000,-80.50887,41.07317
8,6352626089,2007,library,New Castle Library,-80.3438830000,41.0016611000,-80.34388,41.00166
