Unnamed: 0,name,address,lat,lon
1,,2798 WINNER RD  CLARK PA 16113,41.2773,-80.4172
2,,852 N PERRY HWY  MERCER PA 16137,41.27926,-80.23862
3,,889 MILLEDGEVILLE RD  HADLEY PA 16130,41.45068,-80.13318
4,,MERCER RD  GREENVILLE PA 16125,41.39264,-80.37092
5,,1019 MERCER-NEW WILMINGTON RD  NEW WILMINGTON PA 16142,41.18446,-80.26871
6,,1578 N PERRY HWY  FREDONIA PA 16124,41.29992,-80.24041
7,,500 ROEMER BLVD  FARRELL PA 16121,41.21235,-80.5019
8,,1600 ROEMER BLVD  FARRELL PA 16121,41.21303,-80.48479
9,,502 DARR AVE  FARRELL PA 16121,41.20921,-80.50395
10,,1000 ROEMER BLVD  FARRELL PA 16121,41.21217,-80.49648
11,,1901 MEMORIAL DR  FARRELL PA 16121,41.20915,-80.47781
12,,369 MCCLELLAND RD  MERCER PA 16137,41.19439,-80.16606
13,,45 WATER ST  FREDONIA PA 16124,41.3209,-80.25807
14,,5082 SANDY LAKE RD  CARLTON PA 16311,41.46967,-80.06239
15,,DOWLING SCHOOL HOUSE  JAMESTOWN PA 16134,41.46186,-80.47401
16,,85 N HIGH ST  GREENVILLE PA 16125,41.40623,-80.39653
17,,278 MAIN ST  GREENVILLE PA 16125,41.40672,-80.38467
18,,323 MAIN ST  GREENVILLE PA 16125,41.40749,-80.38017
19,,9 DONATION RD  GREENVILLE PA 16125,41.40355,-80.37207
20,,453 MAPLE ST  GROVE CITY PA 16127,41.15066,-80.07877
21,,301 S BROAD ST  GROVE CITY PA 16127,41.15784,-80.08737
22,,1340 W MAIN ST  GROVE CITY PA 16127,41.13959,-80.02985
23,,301 N MADISON AVE  GROVE CITY PA 16127,41.16272,-80.07645
24,,278 S MERCER ST  GREENVILLE PA 16125,41.39375,-80.37198
25,,20 6TH AVE  GREENVILLE PA 16125,41.41234,-80.36692
26,,101 DONATION RD  GREENVILLE PA 16125,41.40516,-80.35847
27,,SUPERIOR ST  HERMITAGE PA 16148,41.24756,-80.51246
28,,2230 HIGHLAND RD  HERMITAGE PA 16148,41.23849,-80.46994
29,,220 N BUHL FARM DR  HERMITAGE PA 16148,41.23659,-80.46959
30,,800 N HERMITAGE RD  HERMITAGE PA 16148,41.24419,-80.44873
31,,1455 N KEEL RIDGE RD  HERMITAGE PA 16148,41.25273,-80.44204
32,,218 MEADOWBROOK RD  HERMITAGE PA 16148,41.23018,-80.4684
33,,2120 SHENANGO VALLEY FWY  HERMITAGE PA 16148,41.22421,-80.4695
34,,3325 MOREFIELD RD  HERMITAGE PA 16148,41.2262,-80.44814
35,,65 S KEEL RIDGE RD  HERMITAGE PA 16148,41.23342,-80.4321
36,,5130 E STATE ST  HERMITAGE PA 16148,41.23588,-80.41583
37,,1229 FRANKLIN RD  JACKSON CENTER PA 16133,41.27315,-80.13815
38,,51 N FOSTER RD  JACKSON CENTER PA 16133,41.27244,-80.15522
39,,406 JACKSON ST  JAMESTOWN PA 16134,41.48608,-80.43684
40,,7407 LAMOR RD  MERCER PA 16137,41.24925,-80.3311
41,,1742 MERCER-WEST MIDDLESEX RD  MERCER PA 16137,41.20761,-80.33808
42,,339 STRAUSSER RD  STONEBORO PA 16153,41.33659,-80.13387
43,,2873 MERCER-BUTLER PIKE  GROVE CITY PA 16127,41.09324,-80.09391
44,,110 E VENANGO ST  MERCER PA 16137,41.2284,-80.23858
45,,250 E BUTLER ST  MERCER PA 16137,41.22491,-80.23642
46,,3947 SANDY LAKE RD  SANDY LAKE PA 16145,41.39293,-80.07272
47,,1738 GEORGETOWN RD  SANDY LAKE PA 16145,41.40924,-80.06216
48,,239 SHEAKLEYVILLE RD  CLARKS MILLS PA 16114,41.4032,-80.17684
49,,235 LINN-TYRO RD  GREENVILLE PA 16125,41.39825,-80.27656
50,,1096 FREDONIA RD  HADLEY PA 16130,41.41312,-80.23468
51,,160 GEORGE JUNIOR RD  GROVE CITY PA 16127,41.16467,-80.11076
52,,549 BARKEYVILLE RD  GROVE CITY PA 16127,41.16808,-80.07645
53,,256 EDGEWOOD ROAD EXT  TRANSFER PA 16154,41.32859,-80.41542
54,,58 DELMAR DR  GREENVILLE PA 16125,41.33284,-80.40376
55,,352 QUINTER RD  HADLEY PA 16130,41.46128,-80.26926
56,,39 LAKE RD  HADLEY PA 16130,41.44747,-80.20981
57,,3271 S MAIN ST  SANDY LAKE PA 16145,41.34964,-80.08243
58,,3086 SANDY LAKE-GROVE CITY RD  SANDY LAKE PA 16145,41.33915,-80.07818
59,,237 W SILVER ST  SHARON PA 16146,41.23384,-80.51337
60,,11 N SHARPSVILLE AVE  SHARON PA 16146,41.23334,-80.50538
61,,469 THORNTON ST  SHARON PA 16146,41.24973,-80.50091
62,,79 CASE AVE  SHARON PA 16146,41.23356,-80.49113
63,,396 BUHL BLVD  SHARON PA 16146,41.23863,-80.4824
64,,155 W CONNELLY BLVD  SHARON PA 16146,41.22958,-80.51267
65,,CEDAR AVE  SHARON PA 16146,41.22101,-80.49693
66,,215 FORKER BLVD  SHARON PA 16146,41.23612,-80.48756
67,,1037 BALDWIN AVE  SHARON PA 16146,41.21869,-80.49535
68,,100 HITTLE DR  SHARPSVILLE PA 16150,41.25608,-80.47757
69,,321 W RIDGE AVE  SHARPSVILLE PA 16150,41.26092,-80.47967
70,,3278 PERRY HWY  SHEAKLEYVILLE PA 16151,41.44608,-80.2064
71,,3613 SHARON RD  WEST MIDDLESEX PA 16159,41.17298,-80.44824
72,,3082 MAIN ST  WEST MIDDLESEX PA 16159,41.17502,-80.4521
73,,3505 TAMARACK DR  SHARPSVILLE PA 16150,41.28186,-80.48656
74,,2370 N HERMITAGE RD  HERMITAGE PA 16148,41.26587,-80.44434
75,,1831 PERRY HWY  VOLANT PA 16156,41.13265,-80.21971
76,,32 LINDEN ST  STONEBORO PA 16153,41.34021,-80.10793
77,,359 GROOVER RD  GREENVILLE PA 16125,41.46974,-80.34199
78,,25 NORTH ST  WEST MIDDLESEX PA 16159,41.17451,-80.45555
79,,339 E JAMESTOWN RD  GREENVILLE PA 16152,41.4294,-80.38952
80,,VERNON RD  GREENVILLE PA 16125,41.40023,-80.46583
81,,71 BROADWAY AVE  WHEATLAND PA 16161,41.20008,-80.4921
82,,35 AUCTION RD  NEW WILMINGTON PA 16142,41.13212,-80.33189
83,,851 CENTERTOWN RD  GROVE CITY PA 16127,41.21337,-80.04081
84,,739 KILGORE RD  JACKSON CENTER PA 16133,41.26155,-80.05578
