Unnamed: 0,name,address,lat,lon
1,,276 W MAIN ST  NEW HOLLAND PA 17557,40.10066,-76.09543
2,,339 E MAIN ST  NEW HOLLAND PA 17557,40.10447,-76.08188
3,,14 S TOWER RD  NEW HOLLAND PA 17557,40.10923,-76.06599
4,,860 SMOKESTOWN RD  DENVER PA 17517,40.24251,-76.11236
5,,37 E SWARTZVILLE RD  DENVER PA 17517,40.2301,-76.07518
6,,91 STEVENS RD  STEVENS PA 17578,40.21277,-76.14936
7,,46 E CHURCH ST  REAMSTOWN PA 17567,40.21029,-76.11937
8,,3116 BLUE ROCK RD  MILLERSVILLE PA 17551,40.00719,-76.37933
9,,1020 DILLERVILLE RD  LANCASTER PA 17603,40.05407,-76.32402
10,,530 MILTON RD  LANCASTER PA 17602,40.02781,-76.26393
11,,270 STRASBURG PIKE  LANCASTER PA 17602,40.01624,-76.23328
12,,870 DURLACH RD  STEVENS PA 17578,40.2369,-76.23106
13,,70 CLAY SCHOOL RD  EPHRATA PA 17522,40.21848,-76.24895
14,,3110 LITITZ PIKE  LITITZ PA 17543,40.11197,-76.3061
15,,333 CHURCH ST  LANCASTER PA 17602,40.03525,-76.30269
16,,466 ROCKLAND ST  LANCASTER PA 17602,40.03407,-76.29988
17,,1891 DONEGAL SPRINGS RD  MOUNT JOY PA 17552,40.1012,-76.5663
18,,5636 BOSSLER RD  ELIZABETHTOWN PA 17022,40.15228,-76.65822
19,,157 W METZLER RD  EPHRATA PA 17522,40.13461,-76.20874
20,,35 NEW JOY DRIVE  EPHRATA PA 17522,40.19775,-76.1723
21,,530 CENTRAL MANOR RD  LANCASTER PA 17603,40.02195,-76.43344
22,,1086 HILLDALE RD  HOLTWOOD PA 17532,39.84332,-76.30133
23,,43 MARTICVILLE RD  LANCASTER PA 17603,39.98216,-76.3114
24,,1215 E MAIN ST  MOUNT JOY PA 17552,40.11169,-76.46738
25,,213 W CHESTNUT ST  LANCASTER PA 17603,40.04117,-76.30932
26,,120 N DUKE ST  LANCASTER PA 17602,40.04026,-76.30434
27,,503 E ORANGE ST  LANCASTER PA 17602,40.04113,-76.29462
28,,205 S QUEEN ST  LANCASTER PA 17603,40.03456,-76.3047
29,,10 FURNACE ST  LANCASTER PA 17602,40.02532,-76.30454
30,,321 W CHESTNUT ST  LANCASTER PA 17603,40.04077,-76.31201
31,,538 W CHESTNUT ST  LANCASTER PA 17603,40.03982,-76.31658
32,,25 N WEST END AVE  LANCASTER PA 17603,40.03902,-76.32289
33,,29 E WALNUT ST  LANCASTER PA 17602,40.04316,-76.3052
34,,517 N QUEEN ST  LANCASTER PA 17603,40.04621,-76.30669
35,,20 E CLAY ST  LANCASTER PA 17602,40.04973,-76.30755
36,,701 N LIME ST  LANCASTER PA 17602,40.04949,-76.3031
37,,410 N LIME ST  LANCASTER PA 17602,40.0451,-76.30303
38,,210 PITNEY RD  LANCASTER PA 17602,40.05273,-76.26448
39,,ROSS & HAMILTON STS  LANCASTER PA 17602,40.05172,-76.29181
40,,935 E WALNUT ST  LANCASTER PA 17602,40.04504,-76.28686
41,,407 HOWARD AVE  LANCASTER PA 17602,40.03439,-76.30242
42,,315 SUSQUEHANNA ST  LANCASTER PA 17602,40.03126,-76.29504
43,,545 S ANN ST  LANCASTER PA 17602,40.03097,-76.29239
44,,750 E KING ST  LANCASTER PA 17602,40.03828,-76.28882
45,,630 ALMANAC AVE  LANCASTER PA 17602,40.03037,-76.28814
46,,407 LAFAYETTE ST  LANCASTER PA 17603,40.03679,-76.31212
47,,CRYSTAL & RODNEY STS  LANCASTER PA 17602,40.03496,-76.31722
48,,133 PEARL ST  LANCASTER PA 17603,40.03584,-76.32189
49,,605 W WALNUT ST  LANCASTER PA 17603,40.04202,-76.31868
50,,410 ST JOSEPH ST  LANCASTER PA 17603,40.03511,-76.30995
51,,750 POPLAR ST  LANCASTER PA 17603,40.02999,-76.31511
52,,1000 FREMONT ST  LANCASTER PA 17603,40.02656,-76.31705
53,,515 HERSHEY AVE  LANCASTER PA 17603,40.02439,-76.31533
54,,609 PROSPECT ST  LANCASTER PA 17603,40.0255,-76.31176
55,,150 N QUEEN ST RM 102  LANCASTER PA 17603,40.04054,-76.30701
56,,540 W WALNUT ST  LANCASTER PA 17603,40.04153,-76.31692
57,,555 W JAMES ST  LANCASTER PA 17603,40.04553,-76.31778
58,,816 BUCHANAN AVE  LANCASTER PA 17603,40.04298,-76.32022
59,,80 E MAIN ST  ADAMSTOWN PA 19501,40.24531,-76.05194
60,,1311 DIAMOND ST  AKRON PA 17501,40.15409,-76.19169
61,,613 MAIN ST  AKRON PA 17501,40.15836,-76.20599
62,,10 W SLOKOM AVE  CHRISTIANA PA 17509,39.95483,-75.99598
63,,308 LOCUST ST  COLUMBIA PA 17512,40.03188,-76.50217
64,,200 N 5TH ST  COLUMBIA PA 17512,40.03597,-76.50248
65,,50 S 6TH ST  COLUMBIA PA 17512,40.03393,-76.49724
66,,336 NORTH 7TH ST  COLUMBIA PA 17512,40.0396,-76.50077
67,,265 S 10TH ST  COLUMBIA PA 17512,40.03611,-76.49006
68,,726 MANOR ST  COLUMBIA PA 17512,40.02715,-76.48999
69,,501 MAIN ST  DENVER PA 17517,40.23403,-76.13821
70,,6051 PINE ST  EAST PETERSBURG PA 17520,40.10181,-76.35179
71,,2340 STATE ST  EAST PETERSBURG PA 17520,40.1003,-76.34804
72,,6030 LEMON ST  EAST PETERSBURG PA 17520,40.10016,-76.35615
73,,121 MECHANICS ALLEY  ELIZABETHTOWN PA 17022,40.15304,-76.60451
74,,600 S HANOVER ST  ELIZABETHTOWN PA 17022,40.14556,-76.59989
75,,171 N MOUNT JOY ST  ELIZABETHTOWN PA 17022,40.15587,-76.60038
76,,810 S MARKET ST  ELIZABETHTOWN PA 17022,40.1428,-76.5985
77,,68 N CHURCH ST  EPHRATA PA 17522,40.1807,-76.17661
78,,1 E MAIN ST  EPHRATA PA 17522,40.17845,-76.17774
79,,167 EAST MAIN ST  EPHRATA PA 17522,40.17597,-76.17443
80,,300 COCALICO ST  EPHRATA PA 17522,40.18148,-76.18589
81,,24 W MAIN ST  LITITZ PA 17543,40.15667,-76.3085
82,,419 PEARSON RD  LITITZ PA 17543,40.14884,-76.28348
83,,222 N BROAD ST  LITITZ PA 17543,40.16108,-76.30859
84,,201 E MARKET ST  LITITZ PA 17543,40.1633,-76.30321
85,,216 S BROAD ST  LITITZ PA 17543,40.15252,-76.30755
86,,651 KISSEL HILL RD  LITITZ PA 17543,40.14721,-76.29439
87,,50 N MAIN ST  MANHEIM PA 17545,40.16479,-76.39669
