geoid,countyfp,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pop10,areakm,popdens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
42095010100,95,0.15308,0,0.00642,3739,1.68351,2220.96007,0.09826,0,0.94639,0,0.09524,0,0.08205,0,0.06338,0,0.0426,1,0.029,1,0.21324,0,0.65101,0,0.01248,0,0.01259,0.05587,0.0277,0.04764,0.10274
42095010200,95,0.0,1,0.0053,3777,7.3896,511.12352,0.03599,1,0.9574,0,0.06432,0,0.03447,0,0.0183,0,0.01365,1,0.03254,1,0.07699,0,0.8742,0,0.01241,0,0.02214,0.08568,0.07089,0.11021,0.1752
42095010300,95,0.40135,0,0.00632,3290,1.7982,1829.60832,0.04693,1,0.98853,0,0.07143,0,0.07298,0,0.10361,0,0.02345,1,0.03897,1,0.10583,0,0.81622,0,0.01117,0,0.0088,0.07189,0.03825,0.03782,0.09913
42095010400,95,0.15051,0,0.00715,5064,2.60504,1943.92711,0.02711,0,0.97895,0,0.04768,0,0.00589,1,0.05904,0,0.00196,1,0.1436,0,0.17071,0,0.67125,0,0.01882,0,0.02111,0.05944,0.03632,0.0,0.13037
42095010500,95,0.16637,0,0.01665,4208,2.05779,2044.9078,0.23928,0,0.77494,0,0.2585,0,0.42327,0,0.06555,0,0.0,1,0.09772,0,0.62929,0,0.23193,0,0.01119,0,0.01011,0.03586,0.02336,0.0,0.02439
42095010600,95,0.07277,0,0.01622,7823,2.91831,2680.66226,0.09609,0,0.89938,0,0.07371,0,0.10598,0,0.08321,0,0.04252,1,0.0628,0,0.24467,0,0.6313,0,0.02603,0,0.02848,0.0652,0.03884,0.10941,0.06045
42095010700,95,0.22099,0,0.01433,4780,1.13963,4194.34854,0.02398,0,0.87661,0,0.16759,0,0.07405,0,0.32608,0,0.01762,0,0.03503,0,0.27881,0,0.65153,0,0.017,0,0.01413,0.05829,0.03053,0.0,0.05802
42095010800,95,0.18992,0,0.03228,2876,0.7867,3655.79932,0.05377,1,0.75959,0,0.21439,0,0.23259,0,0.13755,0,0.0146,1,0.04467,1,0.17603,0,0.73463,0,0.00852,0,0.00757,0.0935,0.03352,0.0,0.09968
42095010900,95,1.0,0,0.00129,3515,0.57433,6120.19466,0.18864,0,0.90205,0,0.13412,0,0.24377,0,0.1371,0,0.00377,1,0.08638,1,0.52667,0,0.35072,0,0.01022,0,0.0,,,,
42095011000,95,0.08518,0,0.032,3530,0.67232,5250.46971,0.13073,0,0.66324,0,0.22201,0,0.44926,0,0.33451,0,0.10894,0,0.09164,1,0.33194,0,0.4207,0,0.00985,0,0.00635,0.07014,0.03453,0.06534,0.04013
